순서,펀드명,운용사명,위험,6개월 수익률,1년 수익률,3년 수익률
1,삼성베트남증권자투자신탁UH[주식형],삼성자산운용,높은위험,24.22,69.52,138.47
2,키움베트남투모로우증권자투자신탁UH[주식],키움투자자산운용,높은위험,16.27,55.66,
3,유리베트남알파증권자투자신탁UH[주식]_운용,유리자산운용,높은위험,16.97,52.75,91.92
4,IBK베트남플러스아시아증권투자신탁[주식],아이비케이자산운용,높은위험,17.34,46.82,77.91
5,한화천연자원증권자투자신탁(주식),한화자산운용,높은위험,37.32,46.,75.41
6,유리베트남알파연금저축증권자투자신탁[주식]_운용,유리자산운용,높은위험,13.6,45.6,77.14
7,미래에셋베트남고배당IPO증권자투자신탁(UH)(주식),미래에셋자산운용,높은위험,14.2,45.43,67.12
8,유리베트남알파증권자투자신탁[주식]_운용,유리자산운용,높은위험,14.4,43.71,76.46
9,삼성인도중소형FOCUS증권자투자신탁UH[주식],삼성자산운용,높은위험,3.,42.04,87.62
10,한국투자베트남그로스증권자투자신탁UH(주식),한국투자신탁운용,높은위험,12.18,41.54,78.67
11,미래에셋베트남증권자투자신탁 1(UH)(주식),미래에셋자산운용,높은위험,7.9,38.92,66.66
12,한화베트남레전드증권자투자신탁(주식),한화자산운용,높은위험,8.75,35.67,70.34
13,한국투자베트남그로스증권자투자신탁(주식),한국투자신탁운용,높은위험,10.47,34.16,65.57
14,한국투자연금베트남그로스증권자투자신탁(주식),한국투자신탁운용,높은위험,9.49,33.12,62.1
15,미래에셋인도중소형포커스증권자투자신탁 1(주식),미래에셋자산운용,높은위험,-1.08,32.82,88.83
16,키움글로벌천연자원증권투자신탁 1[주식],키움투자자산운용,높은위험,29.85,30.86,62.84
17,미래에셋인디아솔로몬증권투자신탁 1(주식),미래에셋자산운용,높은위험,-0.31,30.25,62.92
18,삼성아세안플러스베트남증권자투자신탁UH[주식],삼성자산운용,높은위험,9.48,29.41,69.29
19,삼성인디아증권자투자신탁 2[주식],삼성자산운용,높은위험,0.38,29.26,78.82
20,미래에셋연금인디아업종대표증권자투자신탁 1(주식),미래에셋자산운용,높은위험,-0.52,28.3,68.12
21,미래에셋인디아디스커버리증권투자신탁 1(주식),미래에셋자산운용,높은위험,-1.17,27.89,69.22
22,KB브라질증권자투자신탁(주식)(운용),케이비자산운용,매우높은위험,22.79,27.27,10.03
23,미래에셋라틴인덱스증권투자신탁 1(주식),미래에셋자산운용,매우높은위험,21.9,26.85,0.61
24,미래에셋연금브라질업종대표증권자투자신탁 1(주식),미래에셋자산운용,매우높은위험,15.84,25.74,13.35
25,미래에셋브라질업종대표증권자투자신탁 1(주식),미래에셋자산운용,매우높은위험,15.8,25.7,13.3
26,삼성미국인덱스증권자투자신탁UH[주식],삼성자산운용,높은위험,9.23,25.22,80.81
27,멀티에셋삼바브라질증권자투자신탁[주식],멀티에셋자산운용,매우높은위험,22.14,24.04,14.47
28,유리필라델피아반도체인덱스증권자투자신탁UH[주식]_운용,유리자산운용,높은위험,10.52,23.64,
29,미래에셋연금인디아인프라증권자투자신탁 1(주식),미래에셋자산운용,높은위험,-1.89,23.59,42.66
30,IBK골드마이닝증권자투자신탁 1[주식],아이비케이자산운용,매우높은위험,31.77,22.68,71.42
31,한국투자미국배당귀족증권자투자신탁(USD)(주식),한국투자신탁운용,높은위험,10.47,21.27,
32,신한중남미플러스증권자투자신탁(H)[주식](종류),신한자산운용,매우높은위험,19.76,21.24,2.47
33,다올KTB VIP스타셀렉션증권자투자신탁[주식](운),다올자산운용,높은위험,-2.57,21.23,155.5
34,한국투자미국배당귀족증권자투자신탁UH(주식),한국투자신탁운용,높은위험,10.1,21.,
35,다올KTBVIP밸류연금저축증권자투자신탁[주식](운),다올자산운용,높은위험,-2.56,20.51,152.49
36,다올KTBVIP밸류퇴직연금증권자투자신탁[주식](운),다올자산운용,높은위험,-2.55,20.44,152.46
37,신한브라질증권자투자신탁(H)[주식](종류),신한자산운용,매우높은위험,20.53,20.1,3.77
38,피델리티인디아증권자투자신탁(주식),피델리티자산운용,높은위험,-5.42,19.76,50.44
39,메리츠글로벌인프라증권자투자신탁[주식],메리츠자산운용,높은위험,9.72,19.6,63.01
40,미래에셋MSCIACWORLD인덱스증권자투자신탁(주식)(UH),미래에셋자산운용,높은위험,4.38,18.57,61.66
41,미래에셋미국배당프리미엄증권자투자신탁(주식)(UH),미래에셋자산운용,높은위험,8.91,18.54,49.74
42,삼성미국인덱스증권자투자신탁H[주식],삼성자산운용,높은위험,7.04,18.19,65.19
43,NH-Amundi인도네시아포커스증권투자신탁[주식],엔에이치아문디자산운용,높은위험,13.51,18.07,6.95
44,교보악사글로벌마켓파워증권자투자신탁(UH)[주식](운용),교보악사자산운용,높은위험,6.58,17.63,61.56
45,한국밸류글로벌리서치배당인컴증권자투자신탁(주식),한국투자밸류자산운용,높은위험,8.93,17.34,
46,유리필라델피아반도체인덱스증권자투자신탁H[주식]_운용,유리자산운용,높은위험,8.31,16.75,
47,NH-Amundi아세안플러스증권투자신탁 1[주식],엔에이치아문디자산운용,다소높은위험,7.29,16.49,22.8
48,신한인디아증권자투자신탁(H)[주식](종류),신한자산운용,높은위험,-5.65,16.43,43.16
49,한국투자중소밸류증권자투자신탁(주식),한국투자신탁운용,높은위험,3.54,16.42,37.12
50,한국투자거꾸로증권투자신탁 1(주식),한국투자신탁운용,높은위험,3.9,16.11,36.97